input_id,object_id,sequence_id,frame_id,rgb_path,depth_path,mass_crop_path,friction_context_path,mass_qc_status,friction_qc_status,warning_reason,selection_rule_version,input_sha256
000000_000010,019_pitcher_base,test_sliding/000000,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000000/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000000/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000000_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000000_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,b5788f87db66dfcbaec31d7b5f04f0a44c87b0fcb79c4e89790ab1a964f55c6c
000000_000040,019_pitcher_base,test_sliding/000000,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000000/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000000/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000000_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000000_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,1f00fd223ad2e4c0e54d76b5c0f7bff13bede831a9cf6a2d69e15e3d7fc97e7c
000001_000010,006_mustard_bottle,test_sliding/000001,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000001/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000001/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000001_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000001_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,de1707d6e1c03d57bbbc8cd15ecf1192a0e484c354273360740513a92b400bc8
000001_000040,006_mustard_bottle,test_sliding/000001,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000001/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000001/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000001_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000001_000040.png,WARNING,WARNING,weak background/mask contamination; visual review required,static_real5_v1_20260914,31d0c0a834047d25216d14b224e64b18614dbb749cbb879e665a8e881c16d969
000002_000010,021_bleach_cleanser,test_sliding/000002,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000002/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000002/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000002_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000002_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,4c30ba85e46e571705bbe4e9afddb4a92eec65acba88e3d0ffa87ac68001da57
000002_000040,021_bleach_cleanser,test_sliding/000002,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000002/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000002/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000002_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000002_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,7f2bcb2f5f820987116e282ba5f67c5d09411511e85cc1e0cdd92bd81a5d9be8
000003_000010,003_cracker_box,test_sliding/000003,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000003/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000003/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000003_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000003_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,6e32c43fbcb4e1d559d77e77283d0213129dbbf9f834bf69fdc5020a1fbbc92d
000003_000040,003_cracker_box,test_sliding/000003,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000003/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000003/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000003_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000003_000040.png,WARNING,APPROVED,minor table/robot fragment in mass mask,static_real5_v1_20260914,cd5da281b28d5c2a9ee6efadf0caa6a39bb2870a472263d0bcfd09214e9abacc
000004_000010,025_mug,test_sliding/000004,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000004/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000004/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000004_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000004_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,e07683291991c56625c0c7a74fdf9318280b7c763337f8dd56add68555fae489
000004_000040,025_mug,test_sliding/000004,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000004/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000004/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000004_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000004_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,d290fc117befb5b29795925a1dad8343e90f0ad9b18741bb6dbabf85dbf5cd4d
