condition,metric,repeat_id,macro_score,coverage,complete
siphy_adopted,Mass_MnRE,1,0.9079155640844705,1.0,True
geometric_grounding,Mass_MnRE,1,0.9079155640844705,1.0,True
ours_full,Mass_MnRE,1,0.9079155640844705,1.0,True
ours_full,Friction_MAE,1,0.15439999999999998,1.0,True
siphy_adopted,Mass_MnRE,2,0.9030982519346809,1.0,True
geometric_grounding,Mass_MnRE,2,0.9030982519346809,1.0,True
ours_full,Mass_MnRE,2,0.9030982519346809,1.0,True
ours_full,Friction_MAE,2,0.15639999999999998,1.0,True
siphy_adopted,Mass_MnRE,3,0.9078515964168159,1.0,True
geometric_grounding,Mass_MnRE,3,0.9078515964168159,1.0,True
ours_full,Mass_MnRE,3,0.9078515964168159,1.0,True
ours_full,Friction_MAE,3,0.1624,1.0,True
siphy_adopted,Mass_MnRE,4,0.9157660265871446,1.0,True
geometric_grounding,Mass_MnRE,4,0.9157660265871446,1.0,True
ours_full,Mass_MnRE,4,0.9157660265871446,1.0,True
ours_full,Friction_MAE,4,0.15039999999999998,1.0,True
siphy_adopted,Mass_MnRE,5,0.9078009165563249,1.0,True
geometric_grounding,Mass_MnRE,5,0.9078009165563249,1.0,True
ours_full,Mass_MnRE,5,0.9078009165563249,1.0,True
ours_full,Friction_MAE,5,0.15139999999999998,1.0,True
