target_condition,metric,repeat_id,input_id,source,source_prediction_id,source_parsing_status,independent_model_call
geometric_grounding,Mass_MnRE,1,000000_000010,SiPhy,1eabf1bfa9f48c673876a9f6e04ffec9127959d368d80c2a26ace48411cb2e3a,PARSED,False
ours_full,Mass_MnRE,1,000000_000010,SiPhy,1eabf1bfa9f48c673876a9f6e04ffec9127959d368d80c2a26ace48411cb2e3a,PARSED,False
geometric_grounding,Mass_MnRE,1,000000_000040,SiPhy,87a1c49a8d948fa0ca9207f1b4b3c28a8a54f95bd96db2156cdb6e2a7070bc18,PARSED,False
ours_full,Mass_MnRE,1,000000_000040,SiPhy,87a1c49a8d948fa0ca9207f1b4b3c28a8a54f95bd96db2156cdb6e2a7070bc18,PARSED,False
geometric_grounding,Mass_MnRE,1,000001_000010,SiPhy,b613eabc81383b804f29020f4f8a1b38e1b7c899206be6159916454902d2e1df,PARSED,False
ours_full,Mass_MnRE,1,000001_000010,SiPhy,b613eabc81383b804f29020f4f8a1b38e1b7c899206be6159916454902d2e1df,PARSED,False
geometric_grounding,Mass_MnRE,1,000001_000040,SiPhy,8d3feaf2474a17fab6abfed9d2d820d5460f02eb3f7acd27d019ff5b0bceea41,PARSED,False
ours_full,Mass_MnRE,1,000001_000040,SiPhy,8d3feaf2474a17fab6abfed9d2d820d5460f02eb3f7acd27d019ff5b0bceea41,PARSED,False
geometric_grounding,Mass_MnRE,1,000002_000010,SiPhy,20565b61254fed703910302bc1465ac8967583c5a132a1eb0833b5b70b70bdde,PARSED,False
ours_full,Mass_MnRE,1,000002_000010,SiPhy,20565b61254fed703910302bc1465ac8967583c5a132a1eb0833b5b70b70bdde,PARSED,False
geometric_grounding,Mass_MnRE,1,000002_000040,SiPhy,54d2a27bcc450cd07394c091f7b014e78e817bcfd94126234eb5e83632656a8f,PARSED,False
ours_full,Mass_MnRE,1,000002_000040,SiPhy,54d2a27bcc450cd07394c091f7b014e78e817bcfd94126234eb5e83632656a8f,PARSED,False
